Question,Answer
The program website mentions that applications are open until March 1. Does this deadline apply to international students as well?,Yes. This also applies to international students. 
"I had a question about the formatting of the statement of purpose for the MSDS program. I noticed that USF’s MSCS program specifies formatting preferences for the statement of purpose, such as single-spacing and font size, but I couldn’t find similar guidelines for the MSDS program. In my submission, I used double spacing and did not include a title for my SOP. Would that be considered acceptable?","We don't have any specific requirements for the statement formatting, so what you submitted is fine. "
"I had one last question, as an applicant who is currently completing my undergraduate degree, I was wondering if an offer of admissions would include conditional terms? For example, would acceptance be contingent on meeting a certain GPA or would acceptance be contingent on just being able to successfully graduate and receive a Bachelor's degree?","The only condition there could be is completion of an in progress prerequisite, and of course, a conferral of bachelor's degree. GPA is only evaluated at the time of admission review. "
"Is there any assistance you can provide, such as securing Graduate Assistantship sponsorship, to help me fund my chosen course or program, given that I have been informed there is no available funding and I am unable to cover the fees independently?","All admitted candidates will be considered for program scholarships, which will be detailed in the admission letter. No separate application is required. However, please note that our scholarships cover a maximum of 20% of tuition, so students will need to secure additional funding sources for the program.  You can check the Program Overview (https://www.usfca.edu/arts-sciences/programs/graduate/data-science/program-overview) and FAQs (https://www.usfca.edu/arts-sciences/programs/graduate/data-science/faqs) for additional information. "
"If I lack formal, credited coursework in the prerequisite subjects, would my application still be considered, or is such an absolute admission requirement?",We do prefer to see formal coursework in all three areas of prerequisites. It would be very unlikely for a candidate to be admitted if they lacked such courses in all three subject areas. 
"Does this program have a STEM designation, and would it qualify for OPT extension opportunities for international students?","Yes, the program is STEM designated, with the 24 month OPT extension after the initial 12 month OPT. "
"Given my background in Fine Arts, are there any alternative ways to demonstrate my commitment and ability to succeed in this program?","We have students from a wide range of backgrounds, and welcome any major. However, given the highly accelerated pace of the program, it is important that students have a solid grasp of statistics and programming and a decent background in calculus and linear algebra in order to do well.  Our website includes a list of preapproved online courses for each prerequisite. This list is not exhaustive, any course that's taken for a letter grade and includes a proctored exam will suffice. Also, we are launching our own versions of these prerequisite courses this Spring, and they will be offered online. If you're on our mailing list, you will receive an email about these courses in the coming weeks. "
"As an applicant from India, where education loans are typically approved only after university admission, how can I fulfill the University of San Francisco's financial documentation requirements for an F-1 visa application? Does USF provide a financial declaration form or affidavit of support that can be used temporarily in place of a bank statement or loan approval?","If you plan to finance your education with a loan, you will need to obtain a letter from your bank stating that they will provide a loan for the needed amount if you are admitted. Upload this letter to the certification of finances section of the application. If you are unable to provide a letter, please contact asapplication@usfca.edu for other options. "
What are the prerequisite courses for the MSDS program?,"We require three prerequisite courses: Inferential Statistics, Linear Algebra, and a Programming course. Additionally, we strongly recommend courses in Calculus and Data Structures. If you have questions about the eligibility of courses you have taken or plan to take, please view the list of key concepts to understand for each subject on our How to Apply page. On our FAQ page, we also include a list of pre-approved institutions where you can take each of the three courses and the USF undergraduate courses that meet the criteria. If you still have questions, please email us with the course description and the name of the institution where you took the course(s). "
The MSDS FAQ indicates that certificate coursework typically doesn't replace graded academic courses for prerequisites. I am seeking clarification on whether this policy applies to the Data Institute's certificate courses.,"The Date Institute courses are accepted because they are developed by our MSDS faculty, these certificate courses may be applied towards the MSDS prerequisite course requirements. "
"Given that I am an international student, are there any additional forms of financial aid at USF that I may be eligible for, aside from the Double Dons scholarship, which I have already been awarded?","Unfortunately the Double Dons award cannot be stacked with another USF scholarship award, so external scholarships or private loans would be the other financing options for international students. "
"If additional financial aid is not available, I am considering deferring my admission by a year. Could you provide guidance on the process for deferring admission? Specifically, should I still make the $2,000 initial payment by February 15th of this year, even if I plan to defer?","Regretfully, we do not defer admissions offers. However, applicants who have been admitted once are likely to be admitted again in the subsequent year, should they need to turn down the offer and reapply. "
