Category,Question,Answer
Application Process,Is the application deadline the same for international students?,Yes. This also applies to international students.
Application Process,Are there specific formatting requirements for the statement of purpose?,We don't have any specific requirements for the statement formatting, so what you submitted is fine.
Admission Requirements,What conditions are included in admission offers for current undergraduate students?,"The only condition there could be is completion of an in progress prerequisite, and of course, a conferral of bachelor's degree. GPA is only evaluated at the time of admission review."
Financial Aid & Scholarships,What financial assistance options are available for graduate students?,"All admitted candidates will be considered for program scholarships, which will be detailed in the admission letter. No separate application is required. However, please note that our scholarships cover a maximum of 20% of tuition, so students will need to secure additional funding sources for the program. You can check the Program Overview and FAQs for additional information."
Admission Requirements,Can I apply without formal prerequisite coursework?,We do prefer to see formal coursework in all three areas of prerequisites. It would be very unlikely for a candidate to be admitted if they lacked such courses in all three subject areas.
International Students,Is this program STEM designated for OPT extension purposes?,"Yes, the program is STEM designated, with the 24 month OPT extension after the initial 12 month OPT."
Admission Requirements,How can applicants from non-technical backgrounds succeed in this program?,"We have students from a wide range of backgrounds, and welcome any major. However, given the highly accelerated pace of the program, it is important that students have a solid grasp of statistics and programming and a decent background in calculus and linear algebra in order to do well. Our website includes a list of preapproved online courses for each prerequisite. This list is not exhaustive, any course that's taken for a letter grade and includes a proctored exam will suffice."
International Students,How can international students fulfill financial documentation requirements for visa applications?,"If you plan to finance your education with a loan, you will need to obtain a letter from your bank stating that they will provide a loan for the needed amount if you are admitted. Upload this letter to the certification of finances section of the application. If you are unable to provide a letter, please contact asapplication@usfca.edu for other options."
Admission Requirements,What are the prerequisite requirements for the program?,"We require three prerequisite courses: Inferential Statistics, Linear Algebra, and a Programming course. Additionally, we strongly recommend courses in Calculus and Data Structures. If you have questions about the eligibility of courses you have taken or plan to take, please view the list of key concepts to understand for each subject on our How to Apply page."
Admission Requirements,Are certificate courses accepted for prerequisite requirements?,"The Date Institute courses are accepted because they are developed by our MSDS faculty, these certificate courses may be applied towards the MSDS prerequisite course requirements."
Financial Aid & Scholarships,What financial aid options are available for international students?,"Unfortunately the Double Dons award cannot be stacked with another USF scholarship award, so external scholarships or private loans would be the other financing options for international students."
Application Process,Is it possible to defer admission?,"Regretfully, we do not defer admissions offers. However, applicants who have been admitted once are likely to be admitted again in the subsequent year, should they need to turn down the offer and reapply."
Application Process,How does completing prerequisite courses after applying affect admission decisions?,"Completing your prerequisite courses by April will not negatively impact your application. You can proceed with your application, but it's important to note that any admission decision will be contingent upon the successful completion of these courses. I recommend submitting transcripts or proof of enrollment for these courses along with your application and ensuring all final transcripts are submitted as soon as the courses are completed."
Financial Aid & Scholarships,Are there specific financial grants for refugees?,"While USF does not have a specific grant exclusively for refugees, you may want to explore external funding opportunities, as well as federal financial aid options, if eligible. Also, I encourage you to reach out to the Financial Aid Office at financialaid@usfca.edu for guidance other funding resources that might apply to your situation."
Enrollment Process,What documentation is required for enrollment after acceptance?,"The university will not ask for a green card or other documentation to complete your enrollment. However, once the students are matched to their practicum company, the company's HR may require social security card and/or proof of work authorization as part of their onboarding."
Application Process,Are GRE scores required for admission?,"The program does not require a GRE or GMAT test. If you have already taken either of these exams and wish to include the scores in your application, you have the choice to upload them. Nevertheless, an English Language exam score (TOEFL - 90, IELTS - 6.5, Duolingo - 115, or PTE - 61) is mandatory for international applicants."
Application Process,Can I submit my application before receiving all test scores?,"The program does not require a GRE or GMAT test. If you have already taken either of these exams and wish to include the scores in your application, you have the choice to upload them. Nevertheless, an English Language exam score is mandatory for international applicants."
International Students,Can financial documentation be submitted after admission?,"Yes we can move your application forward for review without the complete Certificate of Finance if you are planning to apply for a loan and require the admission letter for your loan application. Please upload any financial documents that you have into the Certificate of Finance section of the application, as well as a statement explaining that you intend to apply for a student loan but require the admission letter for your loan application."
Financial Aid & Scholarships,How do I apply for scholarships in the program?,"All admitted candidates will be considered for program scholarships, which will be detailed in the admission letter. No separate application is required. However, please note that our scholarships cover a maximum of 20% of tuition, so students will need to secure additional funding sources for the program."
Financial Aid & Scholarships,Are scholarships based on academic and professional achievements?,"For scholarships, all admitted students are automatically considered for program scholarships, which will be detailed in the admission letter. No separate application is required. Please note that scholarships cover a maximum of 20% of tuition, so students must secure additional funding to support their studies."
Application Process,Is an interview required for admission?,"Yes, all applicants must complete an online technical interview with a faculty member from the admissions committee."
Application Process,How should I prepare for the admission interview?,"The interview will cover key prerequisite subjects, including linear algebra, statistics, and programming. It is also an opportunity to ask questions about the program."
Program Structure,When does the program start and what is the application deadline?,"Thank you for your interest in our program. The Master of Science in Data Science (MSDS) is a full-time, one-year program. The 35-unit program starts in early July each year, and it's important to note that admissions are only available in the summer."
Admission Requirements,Can I apply without all prerequisite skills?,You must have completed all required prerequisite courses before the start of the program. This is an accelerated master's program and there is no time to take extra courses. You may apply with courses in progress provided that they will be completed by the time the program begins.
Program Overview,What is the MSDS program?,"The Master of Science in Data Science (MSDS) program at the University of San Francisco (USF) is a full-time, one-year program designed to equip students with the technical expertise and business acumen necessary for successful careers in data science."
Program Overview,What are the benefits of the MSDS program?,"The Master of Science in Data Science (MSDS) program at the University of San Francisco (USF) is a full-time, one-year program designed to equip students with the technical expertise and business acumen necessary for successful careers in data science. USF's MSDS program offers a rigorous curriculum that integrates courses in analytics, machine learning, deep learning, cloud computing, and more. A distinctive feature is the nine-month practicum, where students collaborate with real companies on data science projects, providing hands-on experience that is highly valued by employers."
Tuition & Costs,What is the cost of the program?,"The estimated cost of the MS in Data Science is $1,695 per unit for the 2025-2026 academic year, with a minimum of 35 units required to be completed each academic year. Students typically take an average of 35 units each academic year. A total of 35 units are required for the degree. Program fees are subject to adjustment annually."
Program Structure,How long does the program take to complete?,"The MSDS program is designed to be completed in 12 months of full-time study. Additionally, there is an option to extend the program by one semester (totaling 18 months) to concentrate on Data Engineering."
Program Preparation,How can I succeed in the program without prior data science experience?,"While prior experience in data science is beneficial, the MSDS program provides a comprehensive curriculum that covers foundational to advanced topics. Prospective students need to have  are encouraged to have a strong background in mathematics, statistics, or computer science to facilitate their success in the program."
Program Structure,What is the class size and teaching structure?,"Our 2024–2025 cohort will be approximately 90 students in size. In most classes, we run lectures in two or more sections to keep class sizes small. There are no teaching assistants leading class lectures or class discussions in our program."
Faculty & Research,Can students participate in research with faculty members?,Dr. Yannet Interian is an associate professor in the MSDS program with research interests in applying machine learning and deep learning to medical data. Students interested in collaborating on research projects with Dr. Interian are encouraged to reach out to her directly to discuss potential opportunities.
Student Employment,Are there teaching or research assistantships available?,"No, the MSDS program does not offer teaching or research assistantships."
Student Employment,Can students work while in the program?,"The MSDS is an accelerated one-year program with a required practical training component, leaving little to no time for outside employment. Students are advised to focus fully on the program during their enrollment."
Student Services,What health insurance requirements apply to students?,"Graduate students registered for 6 or more units are automatically enrolled in the USF-sponsored health insurance plan, costing approximately $4,100. Students with existing health coverage may waive this fee by providing proof of comparable insurance."
Tuition & Costs,What additional expenses should students budget for beyond tuition?,"Beyond tuition, students should budget for housing, meals, books, supplies, and other personal expenses. Costs for housing and meals can vary, and students should consult the university's estimated cost of attendance for detailed information."
Curriculum,What courses are offered in the program?,"Core Programming and Computing: Courses like MSDS 501 (Computation for Data Science), MSDS 689 (Data Structures and Algorithms), and MSDS 694 (Distributed Computing) build your technical foundation. Statistics and Mathematics: MSDS 504 (Review Probability and Stats), MSDS 601 (Linear Regression Analysis), and MSDS 604 (Time Series Analysis) cover the statistical underpinnings. Machine Learning and AI: Courses like MSDS 621 (Intro to Machine Learning), MSDS 630 (Advanced Machine Learning), and MSDS 634 (Deep Learning) provide both theoretical understanding and practical applications. Data Management: MSDS 691 (Relational Databases), MSDS 692 (Data Acquisition), and MSDS 697 (Distributed Data Systems) cover how to work with data at scale. Professional Skills: MSDS 610 (Communication for Data Science), MSDS 603 (Data Science Entrepreneurship), and MSDS 633 (Ethics in Data Science) develop critical workplace skills. Hands-on Experience: The program includes a four-part practicum series (MSDS 605, 625, 627, 632) where you will ll work on real-world projects. Specialized Topics: MSDS 631 (Special Topics) and MSDS 699 (Machine Learning Laboratory) allow for exploration of cutting-edge areas."
Practicum Experience,How does the practicum component work?,"The practicum component is a standout feature of the USF MSDS program, offering extensive real-world experience throughout approximately nine months of the program. Heres how its structured: Duration and Time Commitment Spans about nine months of the program Students dedicate 16 hours per week to practicum work Work is typically scheduled across two dedicated days per week Begins in mid-October Project Selection Process Approximately 50 companies from the Bay Area and beyond pitch data science projects each year Students rank their preferences based on these project proposals Students are formed into teams based on complementary strengths Projects may be either paid or unpaid Mentorship and Support Each team receives active mentorship from: A faculty member who provides academic guidance A company mentor who offers industry perspective Regular meetings are scheduled with mentors who provide technical and mathematical expertise Typical Project Flow Initial hypothesis development Data acquisition Exploratory data analysis Feature extraction Model development and evaluation Communication of results (both oral and written) This structured approach ensures students gain comprehensive experience across the entire data science workflow while receiving guidance from both academic and industry professionals. The practicum is designed to bridge the gap between classroom learning and professional practice, giving students a significant advantage when entering the job market."
Practicum Experience,Which companies partner with the program for practicums?,"The USF MSDS program has built an impressive network of practicum partners spanning diverse industries and sectors. These partnerships allow students to work on meaningful data science projects in real-world settings. Heres a selection of the companies and organizations that have partnered with USF: Tech Companies: Facebook Reddit Pocket Gems Metaphor Data Reputation Orange Silicon Valley Financial Services: BlackRock First Republic Bank Freedom Financial Network Oportun Healthcare and Research: Stanford Medicine UCSF Department of Radiation Oncology UCSF Brain Networks Laboratory UCSF Bakar Computational Health Sciences Institute UCSF Hospital Medicine Propeller Health Cerenetics Hims & Hers Sports Organizations: Golden State Warriors New York Mets Public Service and Transportation: Bay Area Rapid Transit (BART) California Department of Fisheries and Wildlife California Forward Nonprofit and Environmental: American Civil Liberties Union (ACLU) Foundation of Northern California Environmental Defense Fund The Nature Conservancy Retail and Consumer: Target Blueboard Velux W.L. Gore & Associates Other Notable Partners: Stanford Graduate School of Business Metromile Nextracker Nisum Recology SubWiFi Boost Sport This diverse set of partnerships gives students exposure to data science applications across many different domains and industries, enhancing their career opportunities upon graduation."
Career Outcomes,What salary can graduates expect?,"For the Class of 2024, the median base salary for offers in California was $147,500. The median base salary for international stydents was $148,400. The average signing bonus was $24,225."
Career Outcomes,What job positions do graduates typically get?,"Data Scientist, Machine Learning Engineer, Data Engineer, Software Engineer, Senior Data Scientist, AI Associate, AI/ML Specialist just to name a few"
Admission Statistics,What is the typical GPA of admitted students?,The average undergraduate GPA for admitted students is 3.43
Admission Statistics,What academic backgrounds do applicants typically have?,"The most common majors that apply are Computer Science, Data Science, Mathematics, Economics, and Statistics. However, students from all backgrounds are encouraged to apply."
Admission Statistics,How much work experience do most applicants have?,"On average, one third of the previous cohorts have had 1 year or less of work experience with the average years worked coming to around 3.5 years."
